Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2015-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);
2015-05-31;0;19,666667;71,833333;
2015-06-01;0;19,616667;70,958333;
2015-06-02;,2;18,55;78,083333;
2015-06-03;,6;18,391667;73,083333;
2015-06-04;0;17,425;80;
2015-06-05;2,6;17,329167;84,541667;
2015-06-06;6,6;17,195833;87,625;
2015-06-07;4,6;16,7625;91,458333;
2015-06-08;17,2;16,716667;87,708333;
2015-06-09;,4;16,854167;90;
2015-06-10;2,8;18,270833;81,958333;
2015-06-11;1,8;18,85;77,166667;
2015-06-12;,2;19,020833;61,208333;
2015-06-13;0;18,325;74,625;
2015-06-14;,2;18,3125;80,583333;
2015-06-15;0;19,4375;80;
2015-06-16;2,8;20,129167;69,583333;
2015-06-17;0;18,179167;66,958333;
2015-06-18;,8;17,675;73,583333;
2015-06-19;,2;18,6;59,791667;
2015-06-20;0;17,1625;68,75;
2015-06-21;0;16,45;73,875;
2015-06-22;7;16,541667;81,958333;
2015-06-23;,2;17,0875;71,291667;
2015-06-24;0;18,233333;72,916667;
2015-06-25;2,4;16,45;85,916667;
2015-06-26;5,4;15,175;83,25;
2015-06-27;,2;14,233333;88;
2015-06-28;3,4;15,116667;88,875;
2015-06-29;2,2;15,770833;90,708333;
2015-06-30;16,8;16,195833;91,708333;
2015-07-01;11,2;16,691667;83,25;
2015-07-02;0;17,679167;73,916667;
2015-07-03;0;18,091667;71,208333;
2015-07-04;0;18,991667;71,333333;
2015-07-05;,2;19,575;69,458333;
2015-07-06;2;16,9625;84,708333;
2015-07-07;4;15,995833;89,333333;
2015-07-08;,8;16,65;83,916667;
2015-07-09;,2;18,375;78,375;
2015-07-10;0;18,929167;72,875;
2015-07-11;,2;17,9625;85,5;
2015-07-12;5,6;18,283333;74,041667;
2015-07-13;0;18,491667;78,916667;
2015-07-14;4,2;17,204167;85,291667;
2015-07-15;8,4;16,454167;85,958333;
2015-07-16;4,6;15,4125;85,625;
2015-07-17;7,4;15,345833;83,083333;
2015-07-18;7,2;15,645833;78,625;
2015-07-19;,6;16,066667;81,5;
2015-07-20;0;15,7375;77,416667;
2015-07-21;0;17,016667;71,625;
2015-07-22;0;16,554167;72,125;
2015-07-23;0;16,391667;76,791667;
2015-07-24;7,4;16,083333;85,666667;
2015-07-25;,2;17,120833;78,125;
2015-07-26;0;18,229167;69,333333;
2015-07-27;0;18,091667;70,208333;
2015-07-28;0;18;71,875;
2015-07-29;0;17,395833;75,541667;
2015-07-30;0;17,241667;69,708333;
2015-07-31;0;16,7625;76,333333;
2015-08-01;,4;14,870833;83,25;
2015-08-02;1,8;16,379167;72,5;
2015-08-03;0;16,754167;66,875;
2015-08-04;0;17,025;63,166667;
2015-08-05;0;17,270833;57;
2015-08-06;0;17,429167;68,5;
2015-08-07;0;17,833333;68,375;
2015-08-08;0;16,708333;63,125;
2015-08-09;0;16,525;66,791667;
2015-08-10;3;15,991667;81,125;
