Ano,Mes,PRECIPITACAO TOTAL; DIARIO (AUT)(mm),TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%)
2015,JAN,2.4516129032258065,21.876928516129034,78.67420532258065
2015,FEV,6.514285714285714,22.013095250000003,80.95833339285716
2015,MAR,1.8709677419354838,22.74314512903226,78.60618280645161
2015,ABR,2.3400000000000003,22.57597223333333,80.32361119999999
2015,MAI,2.193548387096774,20.40819893548387,85.91935483870968
2015,JUN,3.8466666666666667,19.000694433333333,89.74027773333334
2015,JUL,0.8068965517241378,19.12013891666667,88.53819449999999
2015,AGO,0.21481481481481482,,
2015,SET,1.3933333333333333,20.3367188125,77.15686270588236
2015,OUT,0.8258064516129031,21.41021496774194,75.66935480645162
2015,NOV,0.42666666666666664,23.371388866666667,71.40694446666666
2015,DEZ,0.13548387096774195,23.58548390322581,69.16532258064518
2016,JAN,6.361290322580645,23.090591387096783,80.84811832258065
2016,FEV,0.6413793103448275,23.00459768965517,76.8649425862069
2016,MAR,0.4258064516129032,23.147983806451606,76.670699
2016,ABR,0.9666666666666667,22.187499999999996,78.63194449999999
2016,MAI,0.961290322580645,21.084274129032256,80.97849461290323
2016,JUN,1.9666666666666663,20.199027866666665,79.94722223333335
2016,JUL,2.0000000000000004,18.82473122580645,83.68817203225807
2016,AGO,2.2903225806451615,19.21115590322581,83.4274193548387
2016,SET,1.533333333333333,19.878333300000005,81.08749996666667
2016,OUT,1.6322580645161293,21.561027322580642,78.07252225806451
2016,NOV,1.28,21.83763876666667,77.84027776666667
2016,DEZ,3.032258064516129,22.760080677419356,75.3360215483871
2017,JAN,0.27741935483870966,22.988037612903224,71.71774196774193
2017,FEV,2.378571428571429,22.590773857142857,76.96875003571428
2017,MAR,2.638709677419355,22.911693483870966,75.32258067741935
2017,ABR,1.8133333333333335,22.156249999999996,80.34444436666668
2017,MAI,1.4193548387096775,20.69758061290322,82.5974637826087
2017,JUN,2.213333333333333,19.404885034482763,32.62321212500001
2017,JUL,2.6064516129032262,16.38479646153846,84.53825233333332
2017,AGO,0.9548387096774194,18.41416665,75.79448667857143
2017,SET,1.4866666666666668,18.45324072222222,81.74678811111113
2017,OUT,0.0,21.09934210526316,72.23065485
2017,NOV,2.0799999999999996,21.66470377272727,78.14527786666667
2017,DEZ,2.922580645161291,22.663844096774188,74.65456987096775
2018,JAN,1.780645161290323,22.4274193548387,75.61693554838709
2018,FEV,3.4285714285714293,22.59270835714285,78.10416671428572
2018,MAR,1.9612903225806455,22.71787635483871,79.63978487096774
2018,ABR,2.3200000000000007,20.88430556666666,84.49722226666668
2018,MAI,2.664516129032257,19.97083332258065,86.77822577419356
2018,JUN,2.213333333333334,19.0348611,87.525
2018,JUL,1.032258064516129,18.327688161290325,84.3239248064516
2018,AGO,1.4903225806451614,19.25107519354838,82.28360219354838
2018,SET,1.0733333333333335,20.11750003333333,78.16111116666667
2018,OUT,1.5032258064516129,21.793951645161293,75.1572580967742
2018,NOV,1.7466666666666666,21.66513886666667,78.9513889
2018,DEZ,4.903225806451611,22.14475806451613,79.11693551612903
2019,JAN,1.1225806451612903,22.57311822580645,74.90591403225807
2019,FEV,2.036363636363636,24.1216666,70.6791667
2019,MAR,6.296774193548388,23.554435483870968,75.01747312903225
2019,ABR,1.04,22.5826389,82.95833333333333
2019,MAI,1.9612903225806455,21.642741903225808,84.55376341935484
2019,JUN,2.9933333333333336,19.3205555,86.96111119999999
2019,JUL,1.7032258064516128,18.31814519354839,84.80376354838708
2019,AGO,2.2838709677419353,18.427150483870967,85.40725806451613
2019,SET,1.2666666666666666,19.78625,81.8875
2019,OUT,0.7354838709677417,21.15483877419354,78.0833333548387
2019,NOV,0.7333333333333335,22.52416663333333,74.22083330000001
2019,DEZ,1.3806451612903228,22.886962387096784,73.66129035483871
