Data Medicao,INSOLACAO TOTAL; MENSAL(h),NEBULOSIDADE; MEDIA MENSAL(décimos),NUMERO DE DIAS COM PRECIP; PLUV; MENSAL(número),PRECIPITACAO TOTAL; MENSAL(mm),TEMPERATURA MAXIMA MEDIA; MENSAL(°C),TEMPERATURA MEDIA COMPENSADA; MENSAL(°C),TEMPERATURA MINIMA MEDIA; MENSAL(°C),UMIDADE RELATIVA DO AR; MEDIA MENSAL(%),Ano Medicao
JAN,256.3,7.225805999999999,,3.5,31.343333,24.775484,18.032258,71.387097,2015
FEV,176.9,8.481928,,153.8,30.414286,24.471429,18.271429,80.285714,2015
MAR,227.6,8.139785,,107.3,31.557143,25.059355,18.654839000000006,74.782258,2015
ABR,195.4,7.688889,,151.0,31.086667,24.717333,18.717241,76.741667,2015
MAI,156.0,8.505376,,59.2,27.916667,22.56129,17.145160999999998,83.153226,2015
JUN,145.2,8.359551,,79.4,26.703333,21.286667,15.673333,84.75,2015
JUL,170.4,8.44086,,50.5,26.574194,21.089677,15.4,83.33064499999998,2015
AGO,206.2,7.709677,,43.8,28.167742,21.104667000000006,14.572414000000002,75.959677,2015
SET,253.0,5.322222,,1.1,32.69,24.297037,16.585185,64.208333,2015
OUT,253.0,6.347826,,13.1,33.435484,25.207742,17.483871,62.919355,2015
NOV,265.1,6.305556,,37.7,35.3,27.12,19.28,58.45,2015
DEZ,290.3,5.806451999999998,,35.9,35.125806,27.080645,19.087097,58.73387099999999,2015
JAN,147.8,8.91129,,591.9,30.706452,24.651613,18.719355,80.185484,2016
FEV,244.6,6.58046,,0.3,32.010345,25.511724,18.641379,72.931034,2016
MAR,239.0,7.4327960000000015,,19.5,32.409677,25.784516,19.177419,68.55645200000001,2016
ABR,231.0,7.291666999999999,,13.4,31.526667,24.836,17.766667,69.466667,2016
MAI,200.4,7.730977999999999,,8.3,30.093548,23.806452,17.183871,73.346774,2016
JUN,188.3,6.097222,,17.2,29.656667,22.854667000000006,15.583332999999998,71.208333,2016
JUL,189.6,7.2311830000000015,,32.3,28.383871000000006,21.49871,14.574194,75.951613,2016
AGO,195.4,7.177419,,121.2,29.641935,22.474194,15.248387,72.709677,2016
SET,184.3,8.097222,,28.1,29.48,22.902,16.123333,71.675,2016
OUT,220.1,7.056452,,165.7,30.941935,24.034194,17.309677,71.44354799999998,2016
NOV,189.7,7.736111,,75.4,30.836667,24.316,17.44,71.69166700000002,2016
DEZ,214.5,7.9677419999999985,,16.3,33.43871,25.929032,18.654839000000006,65.532258,2016
JAN,251.9,7.258064999999998,,3.2,34.890322999999995,27.047097,18.725806,55.97580600000001,2017
FEV,155.4,8.190476,,36.9,33.225,26.343571,18.910714,60.133929,2017
MAR,204.8,7.591398,,87.3,33.774194,26.269032,18.864516,62.895161,2017
