Data Medicao,PRECIPITACAO TOTAL; DIARIO (AUT)(mm),TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),Latitude,Longitude
2015-04-03,0.0,22.420833,54.0,-13.155681,-41.774125
2015-04-04,0.0,22.575,64.041667,-13.155681,-41.774125
2015-04-05,0.0,21.541667,72.625,-13.155681,-41.774125
2015-04-06,51.6,21.85,73.416667,-13.155681,-41.774125
2015-04-07,0.0,21.525,76.291667,-13.155681,-41.774125
2015-04-08,0.2,19.7125,83.541667,-13.155681,-41.774125
2015-04-09,5.2,19.7125,83.0,-13.155681,-41.774125
2015-04-10,0.6,19.558332999999998,81.25,-13.155681,-41.774125
2015-04-11,3.8,19.75,75.583333,-13.155681,-41.774125
2015-04-12,0.6,20.466667,73.541667,-13.155681,-41.774125
2015-04-13,0.0,20.541667,79.291667,-13.155681,-41.774125
2015-04-14,4.8,20.341667,76.166667,-13.155681,-41.774125
2015-04-15,0.0,20.483333,75.291667,-13.155681,-41.774125
2015-04-16,0.0,21.2,69.625,-13.155681,-41.774125
2015-04-17,0.0,21.4125,69.541667,-13.155681,-41.774125
2015-04-18,0.0,21.920833,68.5,-13.155681,-41.774125
2015-04-19,0.0,22.2375,70.666667,-13.155681,-41.774125
2015-04-20,0.4,21.495832999999998,70.833333,-13.155681,-41.774125
2015-04-21,0.0,22.145833,66.333333,-13.155681,-41.774125
2015-04-22,0.0,22.241667,66.833333,-13.155681,-41.774125
2015-04-23,0.0,22.479167,65.5,-13.155681,-41.774125
2015-04-24,0.0,21.8625,72.583333,-13.155681,-41.774125
2015-04-25,17.4,21.533333,77.083333,-13.155681,-41.774125
2015-04-26,0.6,20.133333,83.916667,-13.155681,-41.774125
2015-04-27,51.6,18.541667,85.791667,-13.155681,-41.774125
2015-04-28,0.4,19.1125,82.541667,-13.155681,-41.774125
2015-04-29,0.2,18.9125,87.291667,-13.155681,-41.774125
2015-04-30,4.8,18.55,90.5,-13.155681,-41.774125
2015-05-01,9.4,17.583333,93.583333,-13.155681,-41.774125
2015-05-02,5.6,17.85,90.125,-13.155681,-41.774125
2015-05-03,0.4,19.075,81.833333,-13.155681,-41.774125
2015-05-04,1.8,19.441667000000002,80.5,-13.155681,-41.774125
2015-05-05,0.2,20.408333,75.583333,-13.155681,-41.774125
2015-05-06,0.0,20.495832999999998,71.041667,-13.155681,-41.774125
2015-05-07,0.0,20.5375,73.375,-13.155681,-41.774125
2015-05-08,0.0,20.1375,77.458333,-13.155681,-41.774125
2015-05-09,20.2,18.0125,85.375,-13.155681,-41.774125
2015-05-10,0.0,18.5125,84.208333,-13.155681,-41.774125
2015-05-11,2.2,20.5375,77.958333,-13.155681,-41.774125
2015-05-12,0.2,20.1875,78.166667,-13.155681,-41.774125
2015-05-13,0.0,20.7,72.541667,-13.155681,-41.774125
2015-05-14,0.0,18.604167,82.208333,-13.155681,-41.774125
2015-05-15,12.6,15.766667000000002,90.333333,-13.155681,-41.774125
2015-05-16,1.4,16.541667,84.25,-13.155681,-41.774125
2015-05-17,5.4,17.620832999999998,85.833333,-13.155681,-41.774125
2015-05-18,0.2,16.770833,87.5,-13.155681,-41.774125
2015-05-19,3.0,17.908333,76.25,-13.155681,-41.774125
2015-05-20,0.6,17.908333,84.5,-13.155681,-41.774125
2015-05-21,17.0,17.25,89.958333,-13.155681,-41.774125
2015-05-22,7.8,16.420833,86.791667,-13.155681,-41.774125
2015-05-23,2.2,17.445833,77.125,-13.155681,-41.774125
2015-05-24,0.0,17.775,78.416667,-13.155681,-41.774125
2015-05-25,0.0,19.045833,75.708333,-13.155681,-41.774125
2015-05-26,0.2,19.25,74.916667,-13.155681,-41.774125
2015-05-27,0.8,19.2,76.791667,-13.155681,-41.774125
2015-05-28,0.2,18.8625,67.916667,-13.155681,-41.774125
2015-05-29,0.0,19.4,69.125,-13.155681,-41.774125
2015-05-30,0.0,19.641667,70.208333,-13.155681,-41.774125
2015-05-31,0.0,19.666667,71.833333,-13.155681,-41.774125
2015-06-01,0.0,19.616667,70.958333,-13.155681,-41.774125
2015-06-02,0.2,18.55,78.083333,-13.155681,-41.774125
2015-06-03,0.6,18.391667,73.083333,-13.155681,-41.774125
2015-06-04,0.0,17.425,80.0,-13.155681,-41.774125
2015-06-05,2.6,17.329167,84.541667,-13.155681,-41.774125
2015-06-06,6.6,17.195833,87.625,-13.155681,-41.774125
2015-06-07,4.6,16.7625,91.458333,-13.155681,-41.774125
2015-06-08,17.2,16.716667,87.708333,-13.155681,-41.774125
2015-06-09,0.4,16.854167,90.0,-13.155681,-41.774125
2015-06-10,2.8,18.270833,81.958333,-13.155681,-41.774125
2015-06-11,1.8,18.85,77.166667,-13.155681,-41.774125
2015-06-12,0.2,19.020833,61.208332999999996,-13.155681,-41.774125
2015-06-13,0.0,18.325,74.625,-13.155681,-41.774125
2015-06-14,0.2,18.3125,80.583333,-13.155681,-41.774125
2015-06-15,0.0,19.4375,80.0,-13.155681,-41.774125
2015-06-16,2.8,20.129167000000002,69.583333,-13.155681,-41.774125
2015-06-17,0.0,18.179167,66.958333,-13.155681,-41.774125
2015-06-18,0.8,17.675,73.583333,-13.155681,-41.774125
2015-06-19,0.2,18.6,59.791667000000004,-13.155681,-41.774125
2015-06-20,0.0,17.1625,68.75,-13.155681,-41.774125
2015-06-21,0.0,16.45,73.875,-13.155681,-41.774125
2015-06-22,7.0,16.541667,81.958333,-13.155681,-41.774125
2015-06-23,0.2,17.0875,71.291667,-13.155681,-41.774125
2015-06-24,0.0,18.233333,72.916667,-13.155681,-41.774125
2015-06-25,2.4,16.45,85.916667,-13.155681,-41.774125
2015-06-26,5.4,15.175,83.25,-13.155681,-41.774125
2015-06-27,0.2,14.233332999999998,88.0,-13.155681,-41.774125
2015-06-28,3.4,15.116667000000001,88.875,-13.155681,-41.774125
2015-06-29,2.2,15.770832999999998,90.708333,-13.155681,-41.774125
2015-06-30,16.8,16.195833,91.708333,-13.155681,-41.774125
2015-07-01,11.2,16.691667000000002,83.25,-13.155681,-41.774125
2015-07-02,0.0,17.679167,73.916667,-13.155681,-41.774125
2015-07-03,0.0,18.091667,71.208333,-13.155681,-41.774125
2015-07-04,0.0,18.991667,71.333333,-13.155681,-41.774125
2015-07-05,0.2,19.575,69.458333,-13.155681,-41.774125
2015-07-06,2.0,16.9625,84.708333,-13.155681,-41.774125
2015-07-07,4.0,15.995833,89.333333,-13.155681,-41.774125
2015-07-08,0.8,16.65,83.916667,-13.155681,-41.774125
2015-07-09,0.2,18.375,78.375,-13.155681,-41.774125
2015-07-10,0.0,18.929167,72.875,-13.155681,-41.774125
2015-07-11,0.2,17.9625,85.5,-13.155681,-41.774125
