Data Medicao,PRECIPITACAO TOTAL; DIARIO (AUT)(mm),TEMPERATURA MEDIA; DIARIA (AUT)(Â°C),UMIDADE RELATIVA DO AR; MEDIA DIARIA (AUT)(%),Latitude,Longitude
2015-01-01,0.0,22.816667000000002,71.875,-13.527828,-40.119752
2015-01-02,0.0,23.183332999999998,71.916667,-13.527828,-40.119752
2015-01-03,0.0,22.195833,76.458333,-13.527828,-40.119752
2015-01-04,0.0,21.75,73.625,-13.527828,-40.119752
2015-01-05,0.0,22.0,76.541667,-13.527828,-40.119752
2015-01-06,0.0,21.895833,81.458333,-13.527828,-40.119752
2015-01-07,2.8,20.233333,90.166667,-13.527828,-40.119752
2015-01-08,10.2,20.4875,83.916667,-13.527828,-40.119752
2015-01-09,0.8,19.7375,91.333333,-13.527828,-40.119752
2015-01-10,29.2,21.945833,79.25,-13.527828,-40.119752
2015-01-11,0.0,22.3625,78.875,-13.527828,-40.119752
2015-01-12,0.0,22.516667,75.5,-13.527828,-40.119752
2015-01-13,0.0,22.379167000000002,72.791667,-13.527828,-40.119752
2015-01-14,0.0,21.416667,76.375,-13.527828,-40.119752
2015-01-15,3.0,20.741667,85.458333,-13.527828,-40.119752
2015-01-16,2.0,21.4375,79.916667,-13.527828,-40.119752
2015-01-17,0.0,22.229167,76.666667,-13.527828,-40.119752
2015-01-18,0.0,22.4875,76.791667,-13.527828,-40.119752
2015-01-19,0.0,22.145833,72.916667,-13.527828,-40.119752
2015-01-20,0.0,20.6625,84.291667,-13.527828,-40.119752
2015-01-21,0.0,22.441667000000002,73.041667,-13.527828,-40.119752
2015-01-22,0.0,21.634783,81.608696,-13.527828,-40.119752
2015-01-23,0.0,22.266667,74.166667,-13.527828,-40.119752
2015-01-24,0.0,21.608333,77.083333,-13.527828,-40.119752
2015-01-25,0.0,20.966667,85.958333,-13.527828,-40.119752
2015-01-26,27.8,22.408333,81.25,-13.527828,-40.119752
2015-01-27,0.2,22.8,76.291667,-13.527828,-40.119752
2015-01-28,0.0,22.841667,72.083333,-13.527828,-40.119752
2015-01-29,0.0,21.458333,81.458333,-13.527828,-40.119752
2015-01-30,0.0,22.429167,80.041667,-13.527828,-40.119752
2015-01-31,0.0,22.704167,79.791667,-13.527828,-40.119752
2015-02-01,0.0,22.85,73.291667,-13.527828,-40.119752
2015-02-02,0.2,22.320833,75.541667,-13.527828,-40.119752
2015-02-03,0.0,22.970833,72.791667,-13.527828,-40.119752
2015-02-04,0.0,22.554167,75.166667,-13.527828,-40.119752
2015-02-05,0.0,22.533333,78.0,-13.527828,-40.119752
2015-02-06,72.8,22.2,83.333333,-13.527828,-40.119752
2015-02-07,22.4,21.841667,82.291667,-13.527828,-40.119752
2015-02-08,0.4,22.304167,80.083333,-13.527828,-40.119752
2015-02-09,0.0,22.166667,81.541667,-13.527828,-40.119752
2015-02-10,0.2,22.533333,75.666667,-13.527828,-40.119752
2015-02-11,0.2,22.641667,71.583333,-13.527828,-40.119752
2015-02-12,0.0,21.9875,73.125,-13.527828,-40.119752
2015-02-13,0.0,22.7375,72.083333,-13.527828,-40.119752
2015-02-14,0.0,21.754167000000002,78.666667,-13.527828,-40.119752
2015-02-15,0.0,21.6875,84.416667,-13.527828,-40.119752
2015-02-16,2.2,21.3875,85.208333,-13.527828,-40.119752
2015-02-17,21.8,22.6,78.666667,-13.527828,-40.119752
2015-02-18,0.0,22.170833,80.875,-13.527828,-40.119752
2015-02-19,0.0,22.320833,80.208333,-13.527828,-40.119752
2015-02-20,2.4,20.216667,86.875,-13.527828,-40.119752
2015-02-21,6.6,20.7375,88.625,-13.527828,-40.119752
2015-02-22,23.6,20.0375,94.458333,-13.527828,-40.119752
2015-02-23,13.8,19.4875,94.208333,-13.527828,-40.119752
2015-02-24,10.2,21.316667000000002,86.041667,-13.527828,-40.119752
2015-02-25,2.0,21.558332999999998,88.291667,-13.527828,-40.119752
2015-02-26,3.6,22.879167000000002,81.041667,-13.527828,-40.119752
2015-02-27,0.0,23.5875,78.083333,-13.527828,-40.119752
2015-02-28,0.0,22.983333,86.666667,-13.527828,-40.119752
2015-03-01,0.0,23.333333,82.583333,-13.527828,-40.119752
2015-03-02,0.0,22.375,84.875,-13.527828,-40.119752
2015-03-03,5.8,20.858333,89.958333,-13.527828,-40.119752
2015-03-04,8.6,21.445833,82.75,-13.527828,-40.119752
2015-03-05,0.8,22.329167,78.375,-13.527828,-40.119752
2015-03-06,0.6,21.545833,87.166667,-13.527828,-40.119752
2015-03-07,34.6,22.6,77.625,-13.527828,-40.119752
2015-03-08,0.2,22.1625,79.791667,-13.527828,-40.119752
2015-03-09,0.0,22.379167000000002,80.625,-13.527828,-40.119752
2015-03-10,0.0,23.2125,79.666667,-13.527828,-40.119752
2015-03-11,0.0,23.3,77.416667,-13.527828,-40.119752
2015-03-12,0.0,22.625,74.958333,-13.527828,-40.119752
2015-03-13,0.0,22.966667,75.208333,-13.527828,-40.119752
2015-03-14,0.4,22.583333,76.375,-13.527828,-40.119752
2015-03-15,0.0,21.741667,79.416667,-13.527828,-40.119752
2015-03-16,0.0,22.683332999999998,76.291667,-13.527828,-40.119752
2015-03-17,0.0,22.633333,76.833333,-13.527828,-40.119752
2015-03-18,0.0,22.4,81.333333,-13.527828,-40.119752
2015-03-19,0.2,22.504167000000002,75.875,-13.527828,-40.119752
2015-03-20,0.0,22.291667,78.375,-13.527828,-40.119752
2015-03-21,0.0,22.883333,72.666667,-13.527828,-40.119752
