datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2018/11/20 16:45:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,8,0,1,-13.119,-41.353,17,PARNA DA CHAPADA DA DIAMANTINA
2018/10/12 16:35:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,50,0,1,-12.438,-41.299,85.9,PARNA DA CHAPADA DA DIAMANTINA
2018/10/14 16:25:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,22,0,1,-13.181,-41.227,50.1,PARNA DA CHAPADA DA DIAMANTINA
2018/10/12 16:35:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,51,0,1,-12.428,-41.3,37.9,PARNA DA CHAPADA DA DIAMANTINA
2018/08/15 16:00:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,2,0,1,-12.616,-41.553,23.1,PARNA DA CHAPADA DA DIAMANTINA
2018/03/01 15:55:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,0,0,1,-12.807,-41.363,75.1,PARNA DA CHAPADA DA DIAMANTINA
2018/04/26 16:45:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,0,0,1,-12.994,-41.541,13.3,PARNA DA CHAPADA DA DIAMANTINA
2018/10/14 16:25:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,23,0,1,-13.179,-41.208,51.7,PARNA DA CHAPADA DA DIAMANTINA
2018/03/01 15:55:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,0,0,1,-12.807,-41.359,66.8,PARNA DA CHAPADA DA DIAMANTINA
2018/09/30 16:10:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,25,0,1,-13.038,-41.532,34.9,PARNA DA CHAPADA DA DIAMANTINA
2018/10/12 16:35:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,23,0,1,-13.201,-41.2,56.7,PARNA DA CHAPADA DA DIAMANTINA
2018/10/01 16:55:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,26,0,1,-13.033,-41.493,37.8,PARNA DA CHAPADA DA DIAMANTINA
2018/10/14 16:25:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,21,0,1,-13.173,-41.237,43.5,PARNA DA CHAPADA DA DIAMANTINA
2018/03/04 16:25:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,0,0,1,-12.841,-41.484,10.7,PARNA DA CHAPADA DA DIAMANTINA
2018/07/19 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,83,0,1,-12.571,-41.303,13.7,PARNA DA CHAPADA DA DIAMANTINA
2018/08/09 16:35:00,AQUA_M-T,Brasil,BAHIA,NOVA REDENCAO,Caatinga,36,0,1,-12.813,-41.254,17.4,PARNA DA CHAPADA DA DIAMANTINA
2018/08/15 16:00:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,2,0,1,-12.615,-41.541,96,PARNA DA CHAPADA DA DIAMANTINA
2018/10/14 16:25:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,21,0,1,-13.182,-41.236,83.6,PARNA DA CHAPADA DA DIAMANTINA
2018/10/27 15:55:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,5,2.2,1,-12.667,-41.503,49.8,PARNA DA CHAPADA DA DIAMANTINA
2018/10/14 16:25:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,21,0,1,-13.172,-41.228,57.1,PARNA DA CHAPADA DA DIAMANTINA
2018/10/15 17:05:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,22,0.6,1,-13.174,-41.244,95.2,PARNA DA CHAPADA DA DIAMANTINA
2018/09/30 16:10:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,25,0,1,-13.039,-41.545,15.6,PARNA DA CHAPADA DA DIAMANTINA
2018/11/20 16:45:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,8,0,1,-13.142,-41.362,28.7,PARNA DA CHAPADA DA DIAMANTINA
2018/08/15 16:00:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,2,0,1,-12.613,-41.535,89.6,PARNA DA CHAPADA DA DIAMANTINA
2018/03/04 16:25:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,0,0,1,-12.813,-41.478,12.2,PARNA DA CHAPADA DA DIAMANTINA
2018/09/03 16:30:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,106,0,1,-13.197,-41.099,11.7,PARNA DA CHAPADA DA DIAMANTINA
2018/10/14 16:25:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,23,0,1,-13.188,-41.207,17.6,PARNA DA CHAPADA DA DIAMANTINA
2018/10/12 16:35:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,47,0,1,-12.44,-41.31,22.5,PARNA DA CHAPADA DA DIAMANTINA
2018/10/14 16:25:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,22,0,1,-13.18,-41.217,24.9,PARNA DA CHAPADA DA DIAMANTINA
