datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2017/10/25 16:38:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0,1,-13.244,-41.183,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/24 15:55:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.1,1,-13.248,-41.196,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/25 16:38:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0,1,-13.247,-41.187,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/25 16:38:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0,1,-13.248,-41.198,,PARNA DA CHAPADA DA DIAMANTINA
2017/01/15 16:57:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.2,1,-13.337,-41.282,,PARNA DA CHAPADA DA DIAMANTINA
2017/04/12 17:03:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,0,0,0.7,-12.555,-41.332,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/27 16:26:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0.4,1,-13.256,-41.184,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/25 16:38:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,0,0,1,-13.245,-41.194,,PARNA DA CHAPADA DA DIAMANTINA
2017/04/13 16:08:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,0,0,0.8,-12.562,-41.317,,PARNA DA CHAPADA DA DIAMANTINA
2017/10/21 17:03:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,0,0,1,-13.232,-41.18,,PARNA DA CHAPADA DA DIAMANTINA
2017/12/05 16:32:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,0,0,0.7,-13.216,-41.188,,PARNA DA CHAPADA DA DIAMANTINA
