,datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
0,2018/10/16 04:00:00,AQUA_M-M,Brasil,BAHIA,ITAETE,Caatinga,23,4.6,1.0,-13.145,-41.26,9.7,PARNA DA CHAPADA DA DIAMANTINA
1,2018/10/13 15:54:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,22,0.0,1.0,-13.182360000000001,-41.211009999999995,12.2,PARNA DA CHAPADA DA DIAMANTINA
2,2018/10/19 00:28:36,METOP-B,Brasil,BAHIA,IBICOARA,Caatinga,2,1.0,1.0,-13.2809,-41.380699,,PARNA DA CHAPADA DA DIAMANTINA
3,2018/10/18 23:34:04,GOES-16,Brasil,BAHIA,IBICOARA,Caatinga,2,0.0,1.0,-13.32,-41.39,,PARNA DA CHAPADA DA DIAMANTINA
4,2018/10/15 04:24:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,38,0.0,1.0,-13.3824,-41.17727,1.1,PARNA DA CHAPADA DA DIAMANTINA
5,2018/10/14 15:04:07,MSG-03,Brasil,BAHIA,MUCUGE,Caatinga,23,0.0,1.0,-13.19,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
6,2018/10/13 03:24:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,21,0.0,1.0,-13.18015,-41.22253,5.0,PARNA DA CHAPADA DA DIAMANTINA
7,2018/10/01 16:24:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,26,0.0,1.0,-13.02307,-41.495670000000004,8.1,PARNA DA CHAPADA DA DIAMANTINA
8,2018/10/13 19:17:39,NOAA-19,Brasil,BAHIA,MUCUGE,Caatinga,22,0.0,1.0,-13.193257999999998,-41.214569,,PARNA DA CHAPADA DA DIAMANTINA
9,2018/10/14 21:34:03,GOES-16,Brasil,BAHIA,ITAETE,Caatinga,22,0.0,1.0,-13.17,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
10,2018/10/15 02:04:03,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,22,0.5,1.0,-13.19,-41.24,,PARNA DA CHAPADA DA DIAMANTINA
11,2018/10/14 21:04:05,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,23,0.0,1.0,-13.19,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
12,2018/10/14 13:49:04,GOES-16,Brasil,BAHIA,ITAETE,Caatinga,22,0.0,1.0,-13.17,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
13,2018/10/15 06:19:04,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,24,0.4,1.0,-13.19,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
14,2018/10/14 21:39:59,NOAA-15,Brasil,BAHIA,MUCUGE,Caatinga,21,0.0,1.0,-13.189687,-41.243446,,PARNA DA CHAPADA DA DIAMANTINA
15,2018/10/15 18:54:32,NOAA-19,Brasil,BAHIA,LENCOIS,Caatinga,39,0.8,1.0,-12.499717,-41.348766,,PARNA DA CHAPADA DA DIAMANTINA
16,2018/10/15 01:04:04,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,24,0.4,1.0,-13.19,-41.22,,PARNA DA CHAPADA DA DIAMANTINA
17,2018/10/19 00:28:37,METOP-B,Brasil,BAHIA,IBICOARA,Caatinga,2,1.0,1.0,-13.29,-41.378601,,PARNA DA CHAPADA DA DIAMANTINA
18,2018/10/19 00:34:03,GOES-16,Brasil,BAHIA,IBICOARA,Caatinga,2,1.1,1.0,-13.3,-41.39,,PARNA DA CHAPADA DA DIAMANTINA
19,2018/10/15 04:24:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,22,0.5,1.0,-13.1749,-41.23437,1.3,PARNA DA CHAPADA DA DIAMANTINA
20,2018/10/19 00:28:37,METOP-B,Brasil,BAHIA,IBICOARA,Caatinga,2,1.0,1.0,-13.2997,-41.376202,,PARNA DA CHAPADA DA DIAMANTINA
21,2018/10/06 23:05:46,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,15,0.0,1.0,-13.276041000000001,-41.333294,,PARNA DA CHAPADA DA DIAMANTINA
22,2018/10/15 12:40:00,TERRA_M-T,Brasil,BAHIA,ITAETE,Caatinga,22,0.5,1.0,-13.164000000000001,-41.228,56.0,PARNA DA CHAPADA DA DIAMANTINA
23,2018/10/15 12:40:00,TERRA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,22,0.6,1.0,-13.161,-41.246,73.5,PARNA DA CHAPADA DA DIAMANTINA
24,2018/10/15 18:49:05,GOES-16,Brasil,BAHIA,ITAETE,Caatinga,24,0.2,1.0,-13.17,-41.19,,PARNA DA CHAPADA DA DIAMANTINA
25,2018/10/15 01:50:00,TERRA_M-M,Brasil,BAHIA,MUCUGE,Caatinga,23,0.5,1.0,-13.192,-41.232,332.6,PARNA DA CHAPADA DA DIAMANTINA
