,datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
0,2019/11/11 03:36:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,18,0.0,1.0,-13.178729999999998,-41.3829,1.3,PARNA DA CHAPADA DA DIAMANTINA
1,2019/11/20 16:10:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.008,-41.393,130.0,PARNA DA CHAPADA DA DIAMANTINA
2,2019/11/20 15:44:35,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.00757,-41.40124,,PARNA DA CHAPADA DA DIAMANTINA
3,2019/11/20 15:44:35,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.00588,-41.38791,,PARNA DA CHAPADA DA DIAMANTINA
4,2019/11/10 16:30:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,17,0.0,1.0,-12.95848,-41.155570000000004,10.5,PARNA DA CHAPADA DA DIAMANTINA
5,2019/11/20 16:42:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.00825,-41.396840000000005,6.4,PARNA DA CHAPADA DA DIAMANTINA
6,2019/11/23 21:34:03,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.16,-41.34,,PARNA DA CHAPADA DA DIAMANTINA
7,2019/11/20 15:04:05,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.01,-41.37,,PARNA DA CHAPADA DA DIAMANTINA
8,2019/11/20 15:44:35,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.01148,-41.39615,,PARNA DA CHAPADA DA DIAMANTINA
9,2019/11/23 16:26:57,NOAA-20,Brasil,BAHIA,ITAETE,Caatinga,5,0.1,1.0,-13.01159,-41.115359999999995,,PARNA DA CHAPADA DA DIAMANTINA
10,2019/11/03 03:33:53,NOAA-20,Brasil,BAHIA,IBICOARA,Caatinga,10,0.0,0.4,-13.3641,-41.34783,,PARNA DA CHAPADA DA DIAMANTINA
11,2019/11/04 15:44:37,NOAA-20,Brasil,BAHIA,PALMEIRAS,Caatinga,6,0.0,0.9,-12.660860000000001,-41.604440000000004,,PARNA DA CHAPADA DA DIAMANTINA
12,2019/11/29 16:05:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,3,0.0,0.8,-13.280999999999999,-41.354,14.8,PARNA DA CHAPADA DA DIAMANTINA
13,2019/11/18 16:20:47,NOAA-20,Brasil,BAHIA,ANDARAI,Caatinga,19,4.2,0.3,-12.80949,-41.29735,,PARNA DA CHAPADA DA DIAMANTINA
14,2019/11/30 16:54:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,4,0.0,1.0,-13.378279999999998,-41.244479999999996,4.7,PARNA DA CHAPADA DA DIAMANTINA
