Data Medicao,DIRECAO PREDOMINANTE DO VENTO; MENSAL(° (gr)),EVAPORACAO DO PICHE; MENSAL(mm),EVAPOTRANSPIRACAO POTENCIAL; BH MENSAL(mm),EVAPOTRANSPIRACAO REAL; BH MENSAL(mm),INSOLACAO TOTAL; MENSAL(h),NEBULOSIDADE; MEDIA MENSAL(décimos),NUMERO DE DIAS COM PRECIP; PLUV; MENSAL(número),PRECIPITACAO TOTAL; MENSAL(mm),PRESSAO ATMOSFERICA AO NIVEL DO MAR; MEDIA MENSAL(mB),PRESSAO ATMOSFERICA; MEDIA MENSAL(mB),TEMPERATURA MAXIMA MEDIA; MENSAL(°C),TEMPERATURA MEDIA COMPENSADA; MENSAL(°C),TEMPERATURA MINIMA MEDIA; MENSAL(°C),UMIDADE RELATIVA DO AR; MEDIA MENSAL(%),VENTO; VELOCIDADE MAXIMA MENSAL(m/s),VENTO; VELOCIDADE MEDIA MENSAL(m/s),VISIBILIDADE; MEDIA MENSAL(codigo),Unnamed: 18,Latitude,Longitude
2016-10-31,14.0,,96.866842,33.479795,261.0,5.040761,,33.2,903.540217,28.190323,22.025160999999997,17.606451999999997,65.879032,7.202160000000001,3.6346300000000005,96.663043,,,"-11.547494
","-41.151165
"
2016-11-30,14.0,,96.699433,58.001079000000004,204.8,5.5833330000000005,,57.9,902.944444,27.886667,22.052,17.946667,68.783333,6.17328,3.703968,96.56666700000001,,,"-11.547494
","-41.151165
"
2016-12-31,14.0,139.8,109.589353,37.110053,231.1,5.44086,,37.0,903.36129,28.916128999999998,22.825806,18.519354999999997,64.072581,6.0,3.402007,56.83871,,,"-11.547494
","-41.151165
"
2017-01-31,14.0,163.1,114.006335,6.667934,283.0,4.591398000000001,,6.6,903.036559,30.309677,23.508387,18.167742,57.870968000000005,5.0,3.193548,56.666667000000004,,,"-11.547494
","-41.151165
"
2017-02-28,14.0,139.7,99.327167,13.720277,184.8,6.119048,,13.7,902.9416669999999,29.496429,23.218571,18.514286,61.116071,6.0,3.214286,56.428571,,,"-11.547494
","-41.151165
"
2017-03-31,14.0,141.9,106.50698700000001,73.804177,229.6,5.462366,,73.8,902.972043,29.432258,23.213548,18.63871,64.379032,5.0,3.107527,56.92473100000001,,,"-11.547494
","-41.151165
"
2017-04-30,14.0,90.0,89.03891800000001,89.03891800000001,212.3,5.411111,,21.9,903.72,27.196666999999998,21.896,18.426667000000002,74.616667,5.0,3.1222220000000003,56.222221999999995,,,"-11.547494
","-41.151165
"
2017-05-31,14.0,75.0,79.255686,35.484617,211.6,5.731183000000001,,21.2,904.8892470000001,25.506452,20.622581,17.190323,78.75,5.0,3.3021510000000003,54.311828000000006,,,"-11.547494
","-41.151165
"
2017-06-30,14.0,78.5,66.222246,30.889546000000003,189.7,6.613636,,24.4,906.172222,24.093332999999998,19.326,16.117241,80.0,5.0,3.685227,54.31818199999999,,,"-11.547494
","-41.151165
"
2017-07-31,14.0,81.7,52.908778000000005,32.198474,174.1,7.0,,29.6,908.6430109999999,21.832258,17.027097,14.177419,81.241935,7.0,4.483871,55.268817000000006,,,"-11.547494
","-41.151165
"
2017-08-31,14.0,,64.228134,22.788981,234.0,4.860215,,19.2,906.260215,24.425806,18.486452,14.819354999999998,73.717742,6.0,3.390967,56.129031999999995,,,"-11.547494
","-41.151165
"
2017-09-30,14.0,,63.116319,35.308139000000004,201.1,6.811798,,33.7,907.114607,24.02,18.494,14.963332999999999,75.625,7.202160000000001,4.265157,96.134831,,,"-11.547494
","-41.151165
"
2017-10-31,14.0,,93.191924,6.971011,273.9,4.089674,,4.2,904.4741939999999,28.380645,21.645160999999998,16.83871,60.540323,6.17328,3.872129,96.62365600000001,,,"-11.547494
","-41.151165
"
2017-11-30,14.0,,93.07159,93.07159,196.4,6.629213,,95.2,902.539326,27.053333000000002,21.816667000000002,17.9,72.475,5.1444,3.5953,96.674157,,,"-11.547494
","-41.151165
"
2017-12-31,14.0,,105.68274,49.486209,217.7,5.43956,,47.7,902.2857140000001,28.206452000000002,22.684,18.6,68.846774,5.1444,3.4484440000000003,96.659341,,,"-11.547494
","-41.151165
"
2018-01-31,14.0,,106.143776,45.842344,267.3,5.190217,,44.8,903.05,28.806452,22.768,18.245161,64.967742,6.17328,3.5451629999999996,96.652174,,,"-11.547494
","-41.151165
"
2018-02-28,14.0,,91.573806,91.573806,178.9,6.966463,,191.3,902.6012199999999,27.403571000000003,22.112857,18.407142999999998,77.651786,5.1444,3.08664,96.621951,,,"-11.547494
","-41.151165
"
2018-03-31,14.0,,99.983065,99.983065,194.5,6.127717,,114.7,902.5913039999999,27.425806,22.442581,18.909677,78.209677,5.1444,3.030723,96.652174,,,"-11.547494
","-41.151165
"
2018-04-30,14.0,,80.85403199999999,67.75283,174.1,6.972222,,24.9,904.18,25.766667,20.925333,17.816667000000002,80.241667,6.17328,3.5782160000000003,96.633333,,,"-11.547494
","-41.151165
"
2018-05-31,14.0,,73.79950699999999,49.571889,176.3,6.559139999999999,,28.9,905.287097,24.683871,19.856667,16.822581,81.266129,6.17328,3.8278760000000003,96.645161,,,"-11.547494
","-41.151165
"
2018-06-30,14.0,,61.362267,54.388936,166.9,6.986111,,50.7,906.75,23.096667,18.586,16.106667,83.416667,7.202160000000001,3.681104,96.633333,,,"-11.547494
","-41.151165
"
2018-07-31,14.0,,60.9038,21.469566,211.4,5.4807690000000004,,8.0,906.8945050000001,23.626667,18.218621,15.06,75.858333,5.1444,3.4880160000000004,96.648352,,,"-11.547494
","-41.151165
"
2018-08-31,14.0,,72.356737,32.110777,245.9,4.328804,,9.3,906.1739130000001,25.580645,19.558065,15.590323000000001,69.08870999999999,6.17328,3.256893,79.304348,,,"-11.547494
","-41.151165
"
2018-09-30,14.0,,81.28250200000001,21.474723,236.5,4.382022,,15.7,904.6617980000001,27.35,20.788,16.376667,65.108333,5.1444,3.3518809999999997,96.11236,,,"-11.547494
","-41.151165
"
2018-10-31,14.0,,102.312702,17.459868,210.8,5.288462,,13.8,903.4296699999999,28.903333,22.644667000000002,17.929032,62.091667,5.1444,3.3806059999999998,96.67033,,,"-11.547494
","-41.151165
"
2018-11-30,14.0,,95.74581500000001,22.057319,194.1,6.207865,,20.7,903.110112,27.813333,22.155333,17.806667,66.275,6.17328,3.6993440000000004,96.595506,,,"-11.547494
","-41.151165
"
2018-12-31,14.0,,99.040317,93.071164,195.0,5.793011,,93.0,903.795699,27.593548,21.974194,17.906451999999998,72.427419,6.17328,3.363221,96.645161,,,"-11.547494
","-41.151165
"
2019-01-31,14.0,,108.08228000000001,7.42824,243.3,4.891304,,6.3,904.307609,29.16129,22.923871,18.003226,60.82258100000001,6.17328,3.4780620000000004,96.641304,,,"-11.547494
","-41.151165
"
2019-02-28,14.0,,104.676624,104.676624,206.8,5.342262,,164.7,903.268675,29.660714000000002,23.912857000000002,19.242857,64.75892900000001,5.1444,2.853917,96.654762,,,"-11.547494
","-41.151165
"
2019-03-31,14.0,,109.390308,95.115305,256.3,5.147849,,79.5,903.469892,29.145160999999998,23.489677,19.283870999999998,68.040323,6.17328,3.363221,96.655914,,,"-11.547494
","-41.151165
"
2019-04-30,14.0,,95.819412,69.107254,214.3,5.861111,,53.7,903.6144439999999,28.183333,22.744,19.29,76.56666700000001,5.1444,3.040912,96.644444,,,"-11.547494
","-41.151165
"
2019-05-31,14.0,,88.956046,33.203715,214.9,4.932796,,18.3,904.211828,27.035484000000004,21.855484,18.532258,75.322581,5.1444,3.208335,96.666667,,,"-11.547494
","-41.151165
"
2019-06-30,14.0,,65.401814,52.771542000000004,179.7,6.722222,,50.8,907.0144439999999,23.453332999999997,19.194482999999998,16.36,80.833333,6.17328,3.895871,96.633333,,,"-11.547494
","-41.151165
"
2019-07-31,14.0,,62.192965,40.965175,195.3,5.927419,,38.3,906.824731,23.712903,18.492258,14.919355,79.040323,6.17328,3.5236370000000004,96.602151,,,"-11.547494
","-41.151165
"
2019-08-31,14.0,,62.036623,36.506921999999996,206.0,6.115591,,34.1,907.968817,23.474194,18.314667,15.016667000000002,79.741935,6.17328,3.7836230000000004,96.591398,,,"-11.547494
","-41.151165
"
2019-09-30,14.0,,75.72705699999999,26.633819,233.8,5.013889,,23.6,905.8655560000001,26.253333,20.142,16.44,73.591667,6.17328,3.3038480000000003,96.633333,,,"-11.547494
","-41.151165
"
2019-10-31,14.0,,99.59196800000001,5.156576,266.5,4.422043,,2.4,903.6451609999999,29.1,22.328387,17.319354999999998,62.782258,6.17328,3.728307,96.666667,,,"-11.547494
","-41.151165
"
2019-11-30,14.0,,109.84221799999999,19.504726,240.9,4.569444,,18.5,902.048889,30.063333,23.583333,18.323332999999998,59.566667,5.1444,3.132368,96.655556,,,"-11.547494
","-41.151165
"
2019-12-31,14.0,,,,277.2,4.233871,,44.0,902.3108699999999,30.680645000000002,24.090323,18.458064999999998,59.225806000000006,6.17328,3.208335,96.666667,,,"-11.547494
","-41.151165
"
2020-01-31,14.0,,,,197.8,5.978261,,244.9,902.9150539999999,27.848387,22.781429,19.335484,74.290323,6.17328,3.08664,96.62365600000001,,,"-11.547494
","-41.151165
"
2020-02-29,14.0,,,,202.3,5.991379,,30.6,903.2459769999999,29.206896999999998,23.671034,19.97931,69.767241,5.1444,2.9550389999999997,96.666667,,,"-11.547494
","-41.151165
"
2020-03-31,14.0,,,,192.6,7.150538,,57.7,903.972043,28.064515999999998,22.976774,19.612903,76.975806,5.1444,3.332677,96.645161,,,"-11.547494
","-41.151165
"
2020-04-30,14.0,,,,161.8,7.555556,,111.4,904.2101119999999,26.033333,21.959310000000002,19.02,83.0,5.1444,3.25812,96.666667,,,"-11.547494
","-41.151165
"
2020-05-31,,,,,,,,,,,,,,,,,,,"-11.547494
","-41.151165
"
2020-06-30,14.0,,,,129.9,7.156863,19.0,,906.76,23.438462,18.741667,15.783332999999999,87.769231,6.17328,3.2076849999999997,96.37254899999999,,,"-11.547494
","-41.151165
"
2020-07-31,14.0,,,,168.0,6.967592999999999,18.0,46.3,906.6425929999999,23.77037,18.402222000000002,15.159259,84.59259300000001,10.2888,3.334333,96.40740699999999,,,"-11.547494
","-41.151165
"
