Data Medicao,DIRECAO PREDOMINANTE DO VENTO; MENSAL(° (gr)),EVAPORACAO DO PICHE; MENSAL(mm),EVAPOTRANSPIRACAO POTENCIAL; BH MENSAL(mm),EVAPOTRANSPIRACAO REAL; BH MENSAL(mm),INSOLACAO TOTAL; MENSAL(h),NEBULOSIDADE; MEDIA MENSAL(décimos),NUMERO DE DIAS COM PRECIP; PLUV; MENSAL(número),PRECIPITACAO TOTAL; MENSAL(mm),PRESSAO ATMOSFERICA AO NIVEL DO MAR; MEDIA MENSAL(mB),PRESSAO ATMOSFERICA; MEDIA MENSAL(mB),TEMPERATURA MAXIMA MEDIA; MENSAL(°C),TEMPERATURA MEDIA COMPENSADA; MENSAL(°C),TEMPERATURA MINIMA MEDIA; MENSAL(°C),UMIDADE RELATIVA DO AR; MEDIA MENSAL(%),VENTO; VELOCIDADE MAXIMA MENSAL(m/s),VENTO; VELOCIDADE MEDIA MENSAL(m/s),VISIBILIDADE; MEDIA MENSAL(codigo),Unnamed: 18,Latitude,Longitude
2015-01-31,18.0,143.2,123.254724,73.306612,256.3,7.2258059999999995,,3.5,1014.298925,965.296774,31.343333,24.775484,18.032258,71.387097,3.3,1.707527,47.655914,,"-12.557854
","-41.388808
"
2015-02-28,18.0,88.9,105.455964,105.455964,176.9,8.481928,,153.8,1013.4130949999999,964.3878050000001,30.414285999999997,24.471429,18.271429,80.285714,4.0,1.385542,45.47619,,"-12.557854
","-41.388808
"
2015-03-31,18.0,108.2,120.28928300000001,116.891042,227.6,8.139785,,107.3,1012.712903,963.6817199999999,31.557143,25.059355,18.654839000000003,74.782258,3.3,1.6279569999999999,44.946236999999996,,"-12.557854
","-41.388808
"
2015-04-30,18.0,96.6,109.18358799999999,109.18358799999999,195.4,7.688889,,151.0,1013.224444,964.1808990000001,31.086667,24.717333,18.717241,76.741667,3.3,1.7122220000000001,44.333333,,"-12.557854
","-41.388808
"
2015-05-31,18.0,78.9,84.995126,81.936711,156.0,8.505376,,59.2,1016.036559,965.538043,27.916666999999997,22.56129,17.145160999999998,83.153226,4.2,2.009677,44.83871,,"-12.557854
","-41.388808
"
2015-06-30,18.0,60.6,69.727337,69.727337,145.2,8.359551,,79.4,1018.496667,968.5122220000001,26.703333,21.286667,15.673333,84.75,4.3,1.9966669999999997,44.222221999999995,,"-12.557854
","-41.388808
"
2015-07-31,18.0,68.3,70.56415,66.268101,170.4,8.44086,,50.5,1018.7193550000001,968.775269,26.574194,21.089677,15.4,83.33064499999999,4.0,1.9580650000000002,44.193548,,"-12.557854
","-41.388808
"
2015-08-31,18.0,105.4,71.189882,60.80325799999999,206.2,7.709677,,43.8,1018.2924730000001,968.4204300000001,28.167741999999997,21.104667000000003,14.572414000000002,75.959677,4.5,2.1688169999999998,45.053763000000004,,"-12.557854
","-41.388808
"
2015-09-30,18.0,164.9,102.595759,35.506864,253.0,5.322222,,1.1,1015.5155560000001,966.2255560000001,32.69,24.297037,16.585185,64.208333,5.0,2.164045,45.777778000000005,,"-12.557854
","-41.388808
"
2015-10-31,18.0,208.2,124.892251,27.85353,253.0,6.347826,,13.1,1014.6532609999999,965.433696,33.435484,25.207742,17.483871,62.919355,5.0,2.181522,44.456522,,"-12.557854
","-41.388808
"
2015-11-30,9.0,,152.925016,42.149359000000004,265.1,6.305556,,37.7,1011.086667,962.7088890000001,35.3,27.12,19.28,58.45,5.6588400000000005,2.028378,95.344444,,"-12.557854
","-41.388808
"
2015-12-31,18.0,,158.260917,37.350375,290.3,5.806451999999999,,35.9,1012.9258060000001,964.429032,35.125806,27.080645,19.087097,58.73387099999999,5.1444,2.173924,96.236559,,"-12.557854
","-41.388808
"
2016-01-31,18.0,,121.88847700000001,121.88847700000001,147.8,8.91129,,591.9,1012.5849460000001,963.653763,30.706452000000002,24.651613,18.719355,80.185484,8.74548,1.8199009999999998,95.903226,,"-12.557854
","-41.388808
"
2016-02-29,18.0,,121.96705700000001,70.678525,244.6,6.58046,,0.3,1013.8563220000001,965.0068970000001,32.010345,25.511723999999997,18.641379,72.931034,5.1444,1.768018,96.16091999999999,,"-12.557854
","-41.388808
"
2016-03-31,18.0,,131.08031599999998,39.415939,239.0,7.432796000000001,,19.5,1013.8473119999999,965.0236560000001,32.409677,25.784516,19.177419,68.55645200000001,5.1444,1.9139380000000001,96.11828,,"-12.557854
","-41.388808
"
2016-04-30,18.0,,110.301027,19.422689000000002,231.0,7.2916669999999995,,13.4,1014.046667,965.036667,31.526667,24.836,17.766667,69.466667,5.1444,2.252104,96.133333,,"-12.557854
","-41.388808
"
2016-05-31,18.0,,99.171566,10.498507,200.4,7.7309779999999995,,8.3,1016.381522,967.065217,30.093548,23.806452,17.183871,73.346774,5.1444,2.052168,96.11956500000001,,"-12.557854
","-41.388808
"
2016-06-30,18.0,,83.102319,17.916407,188.3,6.097222,,17.2,1018.053333,968.442222,29.656667,22.854667000000003,15.583332999999998,71.208333,5.1444,1.8577,96.122222,,"-12.557854
","-41.388808
"
2016-07-31,18.0,,74.35256700000001,32.563629999999996,189.6,7.231183000000001,,32.3,1018.702151,968.7451609999999,28.383871000000003,21.49871,14.574194,75.951613,5.1444,1.9139380000000001,96.053763,,"-12.557854
","-41.388808
"
2016-08-31,18.0,,86.19187,86.19187,195.4,7.177419,,121.2,1017.6720429999999,968.0591400000001,29.641934999999997,22.474194,15.248387,72.709677,5.1444,2.0964810000000003,96.11828,,"-12.557854
","-41.388808
"
2016-09-30,9.0,,90.23025200000001,44.533584000000005,184.3,8.097222,,28.1,1016.5633330000001,967.035556,29.48,22.901999999999997,16.123333,71.675,5.1444,2.074908,96.07777800000001,,"-12.557854
","-41.388808
"
2016-10-31,9.0,,109.26398200000001,109.26398200000001,220.1,7.056452,,165.7,1013.8473119999999,964.668817,30.941934999999997,24.034194,17.309677,71.44354799999999,4.11552,1.88628,96.053763,,"-12.557854
","-41.388808
"
2016-11-30,18.0,,113.394127,99.270131,189.7,7.736111,,75.4,1012.162222,963.1577779999999,30.836667,24.316,17.44,71.69166700000001,4.11552,1.994884,96.06666700000001,,"-12.557854
","-41.388808
"
2016-12-31,18.0,163.6,141.180811,53.130625,214.5,7.967741999999999,,16.3,1011.423656,962.667742,33.43871,25.929032,18.654839000000003,65.532258,6.7,2.175125,45.215053999999995,,"-12.557854
","-41.388808
"
2017-01-31,18.0,223.2,155.824646,14.794264000000002,251.9,7.258064999999999,,3.2,1011.1591400000001,962.7032609999999,34.890322999999995,27.047096999999997,18.725806,55.975806000000006,6.7,2.0817200000000002,44.731183,,"-12.557854
","-41.388808
"
2017-02-28,18.0,160.0,128.236977,38.828140999999995,155.4,8.190476,,36.9,1011.4964289999999,962.6809519999999,33.225,26.343571,18.910714000000002,60.133929,4.2,1.9464290000000002,43.928571000000005,,"-12.557854
","-41.388808
"
2017-03-31,18.0,184.8,138.34506399999998,87.81639200000001,204.8,7.591398,,87.3,1011.28172,962.655914,33.774194,26.269032,18.864516000000002,62.895161,4.3,1.9935479999999999,44.107527000000005,,"-12.557854
","-41.388808
"
2017-04-30,18.0,109.5,109.18358799999999,98.876467,202.2,8.155555999999999,,98.8,1013.285556,964.2744439999999,30.603333000000003,24.7,18.623333,70.94166700000001,4.2,1.8555560000000002,45.0,,"-12.557854
","-41.388808
"
2017-05-31,18.0,98.6,91.395639,91.395639,188.9,7.946236999999999,,109.1,1015.2548390000001,965.831183,28.66,23.006452,17.05,75.879032,4.2,1.946237,44.83871,,"-12.557854
","-41.388808
"
