datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2019/12/04 15:36:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,8,0.0,0.9,-13.07556,-41.44765,9.6,PARNA DA CHAPADA DA DIAMANTINA
2019/12/12 03:03:37,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,8,0.0,0.8,-13.23229,-41.33087,,PARNA DA CHAPADA DA DIAMANTINA
2019/05/26 15:36:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,9,0.0,1.0,-13.30729,-41.33654,5.6,PARNA DA CHAPADA DA DIAMANTINA
2019/06/20 23:18:46,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,34,0.0,1.0,-13.108791,-41.461979,,PARNA DA CHAPADA DA DIAMANTINA
2019/06/22 03:45:59,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,36,0.0,1.0,-13.10438,-41.42633,,PARNA DA CHAPADA DA DIAMANTINA
2019/07/30 17:00:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,68,0.0,1.0,-13.09912,-41.42712,7.2,PARNA DA CHAPADA DA DIAMANTINA
2019/10/14 04:00:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,11,0.0,1.0,-12.39069,-41.41032,1.3,PARNA DA CHAPADA DA DIAMANTINA
2019/06/22 03:45:59,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,36,0.0,1.0,-13.10081,-41.42566,,PARNA DA CHAPADA DA DIAMANTINA
2019/06/21 00:04:05,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,35,0.0,1.0,-13.1,-41.4,,PARNA DA CHAPADA DA DIAMANTINA
2019/06/04 16:06:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,17,0.0,0.7,-13.2436,-41.33295,4.4,PARNA DA CHAPADA DA DIAMANTINA
2019/11/11 03:36:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,18,0.0,1.0,-13.178729999999998,-41.3829,1.3,PARNA DA CHAPADA DA DIAMANTINA
2019/10/09 15:31:37,NOAA-20,Brasil,BAHIA,PALMEIRAS,Caatinga,9,0.0,0.9,-12.53874,-41.52832,,PARNA DA CHAPADA DA DIAMANTINA
2019/09/22 16:48:00,NPP-375,Brasil,BAHIA,ITAETE,Caatinga,60,0.0,1.0,-13.12248,-41.13913,12.8,PARNA DA CHAPADA DA DIAMANTINA
2019/10/14 16:36:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,11,0.0,1.0,-12.40089,-41.40807,3.8,PARNA DA CHAPADA DA DIAMANTINA
2019/09/18 16:24:00,NPP-375,Brasil,BAHIA,PALMEIRAS,Caatinga,37,0.0,1.0,-12.43144,-41.56374,3.9,PARNA DA CHAPADA DA DIAMANTINA
2019/09/05 17:06:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,111,0.0,0.9,-13.23364,-41.3612,9.7,PARNA DA CHAPADA DA DIAMANTINA
2019/06/06 03:45:45,NOAA-20,Brasil,BAHIA,IBICOARA,Caatinga,20,0.0,0.8,-13.341829999999998,-41.32333,,PARNA DA CHAPADA DA DIAMANTINA
2019/10/03 15:44:09,NOAA-20,Brasil,BAHIA,IBICOARA,Caatinga,3,0.0,1.0,-13.324279999999998,-41.39267,,PARNA DA CHAPADA DA DIAMANTINA
2019/11/20 16:10:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13008,-41393,130.0,PARNA DA CHAPADA DA DIAMANTINA
2019/11/20 15:44:35,NOAA-20,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-13.00757,-41.40124,,PARNA DA CHAPADA DA DIAMANTINA
2019/06/21 03:18:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,35,0.0,1.0,-13.10184,-41.42829,3.0,PARNA DA CHAPADA DA DIAMANTINA
2019/06/21 03:18:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,35,0.0,1.0,-13.10581,-41.42494,3.0,PARNA DA CHAPADA DA DIAMANTINA
2019/08/03 21:44:05,GOES-16,Brasil,BAHIA,MUCUGE,Caatinga,55,0.0,1.0,-13.03,-41.42,,PARNA DA CHAPADA DA DIAMANTINA
2019/10/03 16:42:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,2,0.0,1.0,-12.98108,-41.51354,4.4,PARNA DA CHAPADA DA DIAMANTINA
