datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2015/11/13 16:00:00,MSG-03,Brasil,BAHIA,PALMEIRAS,Caatinga,13,0,1,-12.48,-41.52,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/13 16:07:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,7,0,0.9,-12.43319,-41.38453,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/18 16:20:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.194,-41.262,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/18 16:20:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.193,-41.3,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/12 05:01:35,NOAA-19D,Brasil,BAHIA,IBICOARA,Caatinga,7,0,0.9,-13.259,-41.203,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/13 16:30:00,GOES-13,Brasil,BAHIA,LENCOIS,Caatinga,14,0,1,-12.5,-41.44,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/15 16:30:00,GOES-13,Brasil,BAHIA,PALMEIRAS,Caatinga,23,0,1,-12.7,-41.49,,PARNA DA CHAPADA DA DIAMANTINA
2015/10/23 17:04:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,63,0,1,-13.22239,-41.35876,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/15 18:30:00,MSG-03,Brasil,BAHIA,PALMEIRAS,Caatinga,24,0,1,-12.69,-41.53,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 04:11:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,5,0,0.6,-12.58895,-41.44637,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/09 20:04:06,NOAA-18,Brasil,BAHIA,MUCUGE,Caatinga,3,0,0.8,-13.195,-41.319,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/14 01:27:00,TERRA_M-M,Brasil,BAHIA,LENCOIS,Caatinga,8,0,0.7,-12.596,-41.421,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:51:00,NPP-375,Brasil,BAHIA,LENCOIS,Caatinga,15,0,1,-12.49264,-41.43933,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/20 17:16:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,14,0,1,-13.14082,-41.31726,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/16 16:51:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,7,0,1,-13.24212,-41.20818,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/20 04:42:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,14,0,1,-13.16548,-41.33103,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/13 15:29:00,NPP-375,Brasil,BAHIA,IBICOARA,Caatinga,13,0,0.9,-13.35392,-41.2416,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/08 16:00:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,2,0,0.5,-13.28376,-41.25013,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 03:21:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.18319,-41.25999,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/06 04:04:00,NPP-375,Brasil,BAHIA,PALMEIRAS,Caatinga,7,23.6,0.2,-12.59976,-41.45496,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/18 16:13:00,NPP-375,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.18965,-41.3064,,PARNA DA CHAPADA DA DIAMANTINA
