datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2019/09/22 16:30:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,59,0,1,-13.12,-41.138,20.9,PARNA DA CHAPADA DA DIAMANTINA
2019/10/14 15:55:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,12,0,1,-12.396,-41.418,72.6,PARNA DA CHAPADA DA DIAMANTINA
2019/10/15 16:35:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,15,0,0.9,-13.071,-41.408,13.3,PARNA DA CHAPADA DA DIAMANTINA
2019/11/20 16:10:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0,1,-13.008,-41.393,130,PARNA DA CHAPADA DA DIAMANTINA
2019/12/23 16:55:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,9,0,1,-13.132,-41.472,52.1,PARNA DA CHAPADA DA DIAMANTINA
2019/10/30 15:55:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,6,0,0.8,-13.007,-41.401,99.5,PARNA DA CHAPADA DA DIAMANTINA
2019/03/13 15:50:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,14,0,0.9,-13.205,-41.435,59.6,PARNA DA CHAPADA DA DIAMANTINA
2019/10/30 15:55:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,6,0,0.8,-13.008,-41.394,107.2,PARNA DA CHAPADA DA DIAMANTINA
2019/11/29 16:05:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,3,0,0.8,-13.281,-41.354,14.8,PARNA DA CHAPADA DA DIAMANTINA
2019/10/26 16:20:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,2,0,1,-12.365,-41.406,13.4,PARNA DA CHAPADA DA DIAMANTINA
2019/10/14 15:55:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,12,0,1,-12.396,-41.413,72.6,PARNA DA CHAPADA DA DIAMANTINA
2019/01/02 16:25:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0,0.6,-13.274,-41.335,12.3,PARNA DA CHAPADA DA DIAMANTINA
