datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2016/06/16 16:38:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,11,0,1,-13.311,-41.343,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/09 16:56:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,12,0,1,-13.028,-41.479,,PARNA DA CHAPADA DA DIAMANTINA
2016/03/26 16:52:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.015,-41.476,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/01 16:27:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,25,7,0.7,-12.659,-41.506,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/01 16:27:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,26,6.9,0.6,-12.661,-41.515,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/22 16:45:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,13,0,1,-12.647,-41.294,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/03 16:20:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,4,1.5,1,-12.671,-41.442,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/25 16:56:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,8,0.4,1,-13.13,-41.065,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/22 16:45:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,30,0,1,-13.335,-41.363,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/12 17:03:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,25,0,1,-13.188,-41.199,,PARNA DA CHAPADA DA DIAMANTINA
2016/04/08 16:21:00,AQUA_M-T,Brasil,BAHIA,IRAQUARA,Caatinga,1,0,1,-12.382,-41.431,,PARNA DA CHAPADA DA DIAMANTINA
2016/07/22 16:14:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,15,0,1,-13.076,-41.464,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/01 16:32:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,4,0,1,-13.305,-41.325,,PARNA DA CHAPADA DA DIAMANTINA
2016/09/25 16:56:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,8,0.6,1,-13.124,-41.073,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/12 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,24,0,1,-13.194,-41.203,,PARNA DA CHAPADA DA DIAMANTINA
2016/08/21 16:26:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,27,0,1,-13.255,-41.348,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/12 16:14:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,2,0.7,0.9,-13.305,-41.215,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/16 16:39:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,31,0,1,-12.916,-41.315,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/11 17:04:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,10,0,1,-12.638,-41.312,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/02 16:26:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,33,0,1,-13.127,-41.415,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/09 16:32:00,AQUA_M-T,Brasil,BAHIA,ITAETE,Caatinga,10,0,1,-13.168,-41.066,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/22 16:45:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,14,0,1,-12.644,-41.301,,PARNA DA CHAPADA DA DIAMANTINA
2016/05/01 16:27:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,25,6.7,0.7,-12.643,-41.518,,PARNA DA CHAPADA DA DIAMANTINA
2016/06/02 16:26:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,35,0,1,-13.129,-41.424,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/01 16:32:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,4,0,1,-13.303,-41.316,,PARNA DA CHAPADA DA DIAMANTINA
2016/07/18 16:38:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,32,0,1,-12.41,-41.288,,PARNA DA CHAPADA DA DIAMANTINA
2016/01/01 16:32:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,4,0,1,-13.294,-41.317,,PARNA DA CHAPADA DA DIAMANTINA
