datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp,areaprotegida
2015/11/08 17:09:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,8,0,1,-13.399,-41.224,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/18 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,12,0,0.6,-12.68,-41.324,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/06 16:14:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,12,0,1,-12.691,-41.63,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/20 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,14,0,1,-13.151,-41.288,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,15,0,1,-12.451,-41.428,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.167,-41.275,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 16:14:00,AQUA_M-T,Brasil,BAHIA,IBICOARA,Caatinga,6,0,0.9,-13.271,-41.221,,PARNA DA CHAPADA DA DIAMANTINA
2015/10/17 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,52,0,1,-12.757,-41.547,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/12 16:45:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,13,0,1,-12.463,-41.445,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/13 16:02:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,7,0,1,-12.434,-41.391,,PARNA DA CHAPADA DA DIAMANTINA
2015/03/05 16:21:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,2,0,0.3,-12.891,-41.441,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/13 16:20:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,21,0,1,-12.781,-41.385,,PARNA DA CHAPADA DA DIAMANTINA
2015/10/19 15:56:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,59,0,1,-13.21,-41.356,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/18 16:08:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,0,0,1,-12.675,-41.471,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/16 16:51:00,AQUA_M-T,Brasil,BAHIA,ANDARAI,Caatinga,18,0,1,-12.668,-41.213,,PARNA DA CHAPADA DA DIAMANTINA
2015/09/15 16:08:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,20,0,1,-12.76,-41.446,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/16 16:32:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,10,0,1,-13.212,-41.256,,PARNA DA CHAPADA DA DIAMANTINA
2015/01/19 16:51:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,5,0,1,-12.998,-41.446,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 16:14:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,6,0,0.9,-13.261,-41.223,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/12 16:45:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,12,0,1,-12.466,-41.459,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 16:14:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,5,0,0.5,-12.54,-41.397,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/07 16:38:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,1,0,0.7,-13.236,-41.253,,PARNA DA CHAPADA DA DIAMANTINA
2015/01/21 16:39:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,6,2.7,0.8,-12.962,-41.466,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/09 16:26:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,3,0,0.7,-13.228,-41.263,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,14,0,1,-12.505,-41.478,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/13 16:02:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,7,0,1,-12.595,-41.436,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/19 17:03:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,13,0,1,-13.178,-41.335,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:32:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,14,0,1,-12.517,-41.495,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/11 16:14:00,AQUA_M-T,Brasil,BAHIA,LENCOIS,Caatinga,5,0,0.7,-12.594,-41.431,,PARNA DA CHAPADA DA DIAMANTINA
2015/12/06 15:56:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,0,0.6,0.5,-13.255,-41.26,,PARNA DA CHAPADA DA DIAMANTINA
2015/11/14 16:33:00,AQUA_M-T,Brasil,BAHIA,PALMEIRAS,Caatinga,14,0,1,-12.438,-41.455,,PARNA DA CHAPADA DA DIAMANTINA
2015/10/20 16:38:00,AQUA_M-T,Brasil,BAHIA,MUCUGE,Caatinga,60,0,1,-13.22,-41.359,,PARNA DA CHAPADA DA DIAMANTINA
